question_text,option_a,option_b,option_c,option_d,correct_answer,time_limit
Thu do Viet Nam la gi?,Ha Noi,Ho Chi Minh,Da Nang,Hue,Ha Noi,30
Trai Dat quay quanh Mat Troi?,Dung,Sai,,,Dung,20
Nuoc nao la dat nuoc lon nhat the gioi?,Nga,Canada,Trungg Quoc,My,Nga,30
Thanh pho nao la thu do cua Nhat Ban?,Tokyo,Kyoto,Osaka,Yokohama,Tokyo,30
Bien chu Nhat Ban va Trungg Quoc la bien nao?,Bien Dong,Bien Huang,Bien Tay,Bien Bac,Bien Dong,30
Hoa Ky co bao nhieu tieu bang?,48,50,52,49,50,30
Chau Au co bao nhieu nuoc?,47,50,43,52,47,30
Dai duong lon nhat the gioi la?,Dai Duong Thai Binh,Dai Duong Ha Dao,Dai Duong Ky Nhan,Dai Duong The Duc,Dai Duong Thai Binh,30
Nui cao nhat the gioi la?,Everest,K2,Kangchenjunga,Lhotse,Everest,30
Song Hangano dai bao nhieu km?,2700 km,2900 km,3000 km,3200 km,2700 km,30
Vung dat tho o Nam Cuc la?,Nam Cuc,Greenland,Iceland,Siberia,Nam Cuc,30
Chau Phi co dien tich bao nhieu?,30 trieu km2,25 trieu km2,35 trieu km2,40 trieu km2,30 trieu km2,30
Thu do cua Duc la?,Berlin,Munich,Hamburg,Frankfurt,Berlin,30
Trai dat thanh tai bao nhieu nam truoc?,4.5 ty nam,3 ty nam,5 ty nam,2 ty nam,4.5 ty nam,30
Quoc gia nao co dan so nhieu nhat?,An Do,Trungg Quoc,My,Indonesia,An Do,30
Dieu gi la doi xung cua nuoc Viet Nam?,Trungg Quoc,Thai Lan,Campuchia,Lao,Trungg Quoc,30
Thanh pho lon nhat Viet Nam la?,Ho Chi Minh,Ha Noi,Da Nang,Can Tho,Ho Chi Minh,30
Song Mekong chay qua bao nhieu nuoc?,4 nuoc,5 nuoc,6 nuoc,3 nuoc,6 nuoc,30
Chau My co bao nhieu nuoc?,35 nuoc,32 nuoc,38 nuoc,40 nuoc,35 nuoc,30
Bach Dang la song co the tich lon nhat Viet Nam?,Dung,Sai,,,Dung,20
Ton Ngu Tang Nhat Ban la cai gi?,Xuyen dung,Hoa anh dao,Tre xanh,Mien Dong,Hoa anh dao,30
Chau Uc la chau nho nhat the gioi?,Dung,Sai,,,Dung,20
Canh trang lon nhat Viet Nam la?,Ba Ria Vung Tau,Ca Mau,Kien Giang,Tien Giang,Tien Giang,30
Hoa Ky co the o dia diem nao?,Ta Binh Duong,Bien Atlantic,Bien Thái Binh,Bien Caribbean,Ta Binh Duong,30
Dai Hoang Han la bien gioi giua Trungg Quoc va,Viet Nam,Thai Lan,Lao,Myanmar,Viet Nam,30
Lan Nam Dan su cua Campuchia nam o dau?,Bangkok,Phnom Penh,Siem Reap,Battambang,Phnom Penh,30
Thai Lan co trai dat giua hai bien?,Dung,Sai,,,Dung,20
Thu do Myanmar la?,Naypyidaw,Yangon,Mandalay,Bagan,Naypyidaw,30
Song Irrawadi chay qua nuoc nao?,Myanmar,Thai Lan,Viet Nam,Campuchia,Myanmar,30
Khong Tze Tung chu daw cua Indonesia la?,Jakarta,Surabaya,Bandung,Medan,Jakarta,30
Quoc gia lon nhu Nuoc Anh o chau Dai Duong la?,Australia,New Zealand,Fiji,Papua New Guinea,Australia,30
Trungg Quoc co bao nhieu tinh thanh?,31,32,33,34,34,30
Viet Nam co bao nhieu thanh pho truc thuoc Trung Uong?,5,6,7,8,5,30
Bien giua Viet Nam va Campuchia la?,Bien Dong,Bien Tay,Vuong Vu Thai,Vuong Thai,Bien Tay,30
Dieu gi la chi tieu kinh te cua một nuoc?,GDP,GNP,NPP,PPP,GDP,30
Ngn hang Trung Uong cua Viet Nam la?,NHNN VN,BIDV,Agribank,Vietcombank,NHNN VN,30
Nuoc nao sao khop theo Hieu uoc nhat Pari?,Phap,Nga,Duc,Anh,Phap,30
Cuoc chien the gioi thu nhat bat dau nam nao?,1914,1915,1912,1916,1914,30
Cuoc chien the gioi thu hai bat dau nam nao?,1939,1938,1940,1941,1939,30
World Wide Web duoc phat minh boi ai?,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg,Tim Berners-Lee,30
Internet bat dau phat trien nam nao?,1969,1975,1980,1985,1969,30
He dieu hanh Windows ra mat lan dau nam nao?,1985,1987,1989,1991,1985,30
Lan dau su dung dien thoai di dong nam nao?,1973,1975,1980,1985,1973,30
AI o dung la chi chi?,Artificial Intelligence,Artificial Information,Automated Intelligence,Advanced Information,Artificial Intelligence,30
Python la ngon ngu lap trinh duoc tao ra nam nao?,1989,1991,1995,1997,1989,30
Java duoc tao ra boi?,Sun Microsystems,Microsoft,IBM,Apple,Sun Microsystems,30
Ky hieu hoa hoc cua Au la?,Au,Ag,Ag,Gd,Au,30
Ky hieu hoa hoc cua Bac la?,N,N2,NO,NH,N,30
Ky hieu hoa hoc cua Oxi la?,O,O2,Ox,O3,O,30
Nhiet do tuyết dông cua nuoc là bao nhieu?,0 C,100 C,32 F,212 F,0 C,30
Axit manh nhat la?,Axit lau lau,Axit clohydric,Axit nitric,Axit sunfuric,Axit sulfu,30
Quan Sơn Ngoài o Tran Thuc la di tich nao?,Lau dau,Tran Thuc,Pho Hien,Quangf Ninh,Tran Thuc,30
Chau Fai o Ha Tay lat duoc coi la co thu do Viet Nam?,Dung,Sai,,,Dung,20
Han Noi di thanh thu do Viet Nam nam nao?,1010,1100,1200,1300,1010,30
